Names	total	elements
HIV Kaposi Sarcoma	2	ATF3
		G0S2
COPD HIV	1	CCL5
HIV Psoriasis	1	DUSP1
Diabetes HIV	1	ACSL1
HIV TB	1	PLIN2
COPD Kaposi Sarcoma	2	JAK3
		EPSTI1
Kaposi Sarcoma TB	2	HS3ST1
		IFITM1
COPD Psoriasis	1	NFE2L3
COPD Diabetes	1	SECTM1
Diabetes Psoriasis	1	MFN1
Psoriasis TB	2	FAM43A
		BCAR3
Diabetes TB	1	ARPP19
HIV	71	HSPB1
		CXCR4
		FOSL2
		PPP1R15A
		AQP9
		NR4A2
		DNAJB1
		NLRP3
		NAMPT
		BASP1
		C5AR1
		GPR183
		SDCBP
		CD55
		PLK3
		SLC16A6
		GZMA
		BTG1
		SH3BP5
		HBEGF
		FOS
		LAT
		JUNB
		SLC2A3
		GLUL
		HK2
		PPIF
		ZNF331
		THBS1
		CYTIP
		LOC102724334
		NFIL3
		HIF1A
		BHLHE40
		HBB
		PDE4B
		CCNH
		MAFB
		NFE2L2
		KLF4
		THBD
		LUC7L3
		HSPH1
		FTH1
		IER3
		IFNGR1
		CEBPD
		ZFP36
		SGK1
		H3-3B
		CD83
		BAG3
		HSPA1A
		PFKFB3
		H1-10
		TREM1
		VEGFA
		CEBPB
		DNAJB6
		H2AC19
		TIMP1
		PLAUR
		THEMIS2
		DUSP10
		STK17B
		CREM
		BCL2A1
		HSP90AA1
		FPR1
		ADGRG1
		HBA1
Kaposi Sarcoma	109	LINC01013
		TAGLN
		CCNA1
		TGFB2
		FLT1
		HTN1
		CMPK2
		SP110
		IFI6
		A2M
		PLCB1
		SLC2A12
		SAMHD1
		UCHL1
		PLA2G5
		MDM2
		GUCY1A1
		CHST1
		COL15A1
		GASK1B
		LYVE1
		IFI44L
		IFIT1
		CRYAB
		FAM167B
		CLU
		OAS2
		HTN3
		CX3CL1
		PRR15
		ETS2
		CA2
		RCAN2
		APLN
		RASGRP3
		KRT18
		CXCL11
		UBE2L6
		NOS3
		PCSK6
		ZNF366
		C1orf21
		IFIT2
		PCDH17
		CADM1
		IFI27
		IFI35
		TFEC
		CXCL10
		HECW2
		HERC5
		GJA4
		LINC02915
		GNA14
		OAS1
		RSAD2
		MX1
		MAGED4
		MEST
		NALCN
		KCNN2
		NOG
		ELN
		IRF7
		SAMD9L
		CFAP95
		NDRG4
		HELZ2
		HERC6
		CASP1
		SPRY4
		IFIH1
		PTGS2
		RGS17
		RGCC
		OVOS2
		GABBR2
		USP18
		MARCHF4
		TNFSF18
		CLIC2
		GNG2
		GDF7
		TRIM14
		RBP1
		PARP9
		MLPH
		CXCL16
		MMP10
		TSPAN2
		DIPK2B
		COL1A2
		MMP1
		IGFBP5
		COL8A1
		HSPC324
		PDGFC
		MEGF6
		IFI44
		MEDAG
		HLX
		ISG15
		LYPD1
		MX2
		HAPLN1
		IFIT3
		ANGPT2
		RIGI
		B3GALT2
COPD	48	TPD52
		P2RY13
		PRKAR2B
		ABCG2
		C1S
		GDF15
		SEMA4D
		LPAR3
		CD38
		SLC37A2
		TNFSF10
		GBP1
		LINC01526
		GPD1
		VAMP5
		LRRK2
		SHROOM3
		PHLDA1
		MCOLN2
		SLC41A2
		PLXNC1
		PHACTR1
		ADORA2B
		ZNF232-AS1
		SLC39A8
		FABP3
		WWTR1
		CTNNAL1
		ATP6V0D2
		PLPP1
		CFB
		SH3RF1
		GBP2
		CALHM6
		GCH1
		IL15RA
		TDRD9
		SLC26A11
		HOXB7
		RFLNB
		FCMR
		APOL3
		MTMR11
		GBP4
		CCL15-CCL14
		PSTPIP2
		PRDM1
		MCTP1
Psoriasis	145	UCHL3
		PPARD
		TGM1
		YIF1B
		PRSS3P2
		TK1
		GLTP
		ZSCAN18
		GGH
		RGPD4
		RABIF
		TMEM45B
		FNBP1L
		ATP11B
		PRSS3P1
		MYD88
		FAM234B
		SPRR2C
		KCNK6
		GDA
		IRF2BP2
		CD24
		TSC22D1
		CYP4F22
		AKR1B10
		PSMA3
		PCLAF
		ACP5
		TMEM86A
		SRXN1
		SLC25A46
		KPNA2
		PCGF5
		INA
		EIF5
		UBE2F
		EPHX3
		PHF3
		GPR15LG
		FBXO9
		KLK8
		LCE3D
		SERPINB4
		LEPROTL1
		TTC39A
		KRT6C
		POLE2
		GDPD3
		CLEC7A
		HSPA14
		FABP5
		LRP8
		ZBTB21
		TMC5
		WDR53
		FEN1
		PLBD1
		HYAL4
		SMPD3
		SRD5A3
		SCD5
		DEFB4B
		CDK5R1
		TXNDC9
		TPBG
		SPRR2B
		GGCT
		CCDC85C
		SLAMF7
		ACP3
		ZNF26
		CYSRT1
		KLF6
		MICALL1
		CSTA
		LANCL2
		IL36RN
		ADAP2
		DNAJC9
		PRELID1
		RGS20
		KRT77
		RIMS3
		PPP1R3B
		SLC7A1
		HIGD1A
		POLR3G
		SPRR3
		SERPINB13
		PCNA
		DUOXA1
		CYB5R4
		C12orf56
		GM2A
		KYNU
		LRR1
		CLDN8
		CD47
		AFTPH-DT
		FBXO45
		PPFIBP1
		MYO5A
		CHRNA9
		SPRR2G
		S100A7
		GTF3C6
		HPSE
		ZCCHC10
		HSD11B1
		S100A7A
		LCN2
		CNFN
		SFT2D2
		S100A12
		PRSS27
		RSF1
		CENPN
		ZNF677
		ADRB2
		PRSS3
		IL36G
		TMPRSS11D
		NDC80
		SLC7A11
		SERPINB3
		CHAC2
		SPRR1A
		PGLYRP4
		JUN
		TXNDC17
		PI3
		KRT6A
		FOXO1
		TGIF2-RAB5IF
		PSMA5
		BMAL2
		RETREG1
		C1orf43
		FCHSD1
		NLRX1
		SPRR1B
		KLHL24
		S100A9
		IGFL1
		RNASEH1
Diabetes	132	RPL17-C18orf32
		ATRX
		BUB3
		TTC19
		RPLP0
		TMX4
		PEX2
		PCSK1
		PIKFYVE
		EMC2
		UBE2E3
		DDOST
		ILF2
		LYSET
		MRPL3
		RBP4
		GRK6
		MGAT2
		G3BP2
		NUCB2
		IAPP
		TMEM70
		RNF103-CHMP3
		EOLA2
		OXSM
		EIF3A
		GTF3C3
		SRSF10
		SLC9A6
		SLC25A5
		RPL15
		SRSF6
		LMBRD1
		PPM1A
		PSMG1
		SCP2
		HADH
		RPA1
		SH3GLB1
		FNDC3A
		PSMD11
		SRP72
		RPL3
		ARMCX1
		UPF3A
		MAPRE1
		SDC2
		DNAJB9
		PRDX4
		LSM12
		BCL2L2
		HSPE1
		PTS
		TCEA1
		WDR12
		AHCY
		DHX29
		STOML2
		TM9SF2
		SSR1
		UNC50
		TMED10
		PLAGL1
		TMX1
		SYBU
		PFN2
		PPP1CC
		SEC62
		TMEM92-AS1
		AASDHPPT
		PITPNA
		IARS1
		ISOC1
		EXOC1
		BLOC1S5-TXNDC5
		ERO1B
		SEC11A
		SEC63
		CTBP2
		UBE2M
		PDIA6
		ANKRD46
		TMED7
		ATP5F1B
		DAP
		ZNHIT3
		NMT1
		HADHA
		ANKHD1-EIF4EBP3
		NELFCD
		NUDT4
		USO1
		GALC
		ELP1
		SLC35B1
		C5orf22
		OAZ1
		SGCE
		IPO5
		NSMAF
		UBE3A
		DCTD
		VDAC3
		FBXL5
		SKIC8
		XPOT
		ARCN1
		APEX1
		AKAP11
		SERBP1
		UAP1
		UBE2D2
		SPCS1
		CALM1
		MAP3K11
		PIGT
		TTC38
		LRRFIP1
		DCTN6
		USP1
		ECI2
		PPP1R7
		CDC40
		VGLL4
		EEF1A1
		UQCRC2
		BET1
		CCDC47
		IDH3A
		SEL1L
		GPR89B
		CLK1
TB	136	VDR
		MAP4
		ITGA5
		SLCO4A1
		TBCB
		ECHS1
		ENG
		PLAU
		MSC
		EIF4E
		SKAP1
		TMEM51
		FGFR1
		PDE2A
		YPEL4
		FAM8A1
		BBS9
		CAMK1
		RGS16
		INPP4B
		CLN8
		STX8
		PRKCB
		ARHGEF7
		MSH5-SAPCD1
		LGMN
		ABCG1
		HTATSF1P2
		BISPR
		SYNGR3
		ADGRG3
		GFPT2
		PAFAH1B1
		GSTK1
		RAPH1
		RBPJ
		TPM3
		NECTIN3
		SLC1A4
		HINT2
