name,selected,shared name,type
ABCB1,False,ABCB1,tb
ABCG2,False,ABCG2,dis
ABL1,False,ABL1,tb
ABCG1,False,ABCG1,tb
PPARG,False,PPARG,tb
OLR1,False,OLR1,tb
SLCO4A1,False,SLCO4A1,tb
ENG,False,ENG,tb
CD38,False,CD38,dis
SPAG9,False,SPAG9,tb
WWTR1,False,WWTR1,dis
ADORA2B,False,ADORA2B,dis
P2RY13,False,P2RY13,dis
P2RY1,False,P2RY1,tb
AGO2,False,AGO2,tb
LRRK2,False,LRRK2,dis
EIF4E,False,EIF4E,tb
AIF1,False,AIF1,tb
SYN1,False,SYN1,tb
OLIG2,False,OLIG2,tb
CCL5,False,CCL5,dis
AKR7A2,False,AKR7A2,tb
MSC,False,MSC,tb
APOL3,False,APOL3,dis
GBP1,False,GBP1,dis
ARHGEF7,False,ARHGEF7,tb
CAMK1,False,CAMK1,tb
ATP6V0D2,False,ATP6V0D2,dis
NPRL3,False,NPRL3,tb
BAX,False,BAX,tb
TNFSF10,False,TNFSF10,dis
BBS9,False,BBS9,tb
IFT27,False,IFT27,tb
C1S,False,C1S,dis
VAMP5,False,VAMP5,dis
FCN1,False,FCN1,tb
CFB,False,CFB,dis
CARS2,False,CARS2,tb
CTH,False,CTH,tb
FARS2,False,FARS2,tb
CCL15,False,CCL15,dis
CXCR6,False,CXCR6,tb
SERPINE1,False,SERPINE1,tb
ITGAL,False,ITGAL,tb
IL32,False,IL32,tb
IL21R,False,IL21R,tb
CD58,False,CD58,tb
PRDM1,False,PRDM1,dis
PRKCB,False,PRKCB,tb
CDK19,False,CDK19,tb
MED14,False,MED14,tb
COL7A1,False,COL7A1,tb
TRAPPC6A,False,TRAPPC6A,tb
PLOD1,False,PLOD1,tb
ITGAV,False,ITGAV,tb
SORD,False,SORD,tb
TSTD1,False,TSTD1,tb
JAK3,False,JAK3,dis
DDI2,False,DDI2,tb
NFE2L3,False,NFE2L3,dis
DNAJB5,False,DNAJB5,tb
GSPT1,False,GSPT1,tb
ECHS1,False,ECHS1,tb
GDF15,False,GDF15,dis
ITGA5,False,ITGA5,tb
EPSTI1,False,EPSTI1,dis
FABP3,False,FABP3,dis
PLIN2,False,PLIN2,tb
RBPJ,False,RBPJ,tb
FGFR1,False,FGFR1,tb
PIK3R2,False,PIK3R2,tb
PSME2,False,PSME2,tb
GBP2,False,GBP2,dis
IFITM1,False,IFITM1,tb
GEM,False,GEM,tb
SYNJ2,False,SYNJ2,tb
GNA12,False,GNA12,tb
LPAR3,False,LPAR3,dis
GPD1,False,GPD1,dis
PPAP2B,False,PPAP2B,
IL15RA,False,IL15RA,dis
INPP4B,False,INPP4B,tb
PLAU,False,PLAU,tb
LIMS1,False,LIMS1,tb
SPHK1,False,SPHK1,tb
LGMN,False,LGMN,tb
TNS1,False,TNS1,tb
LMNA,False,LMNA,tb
TPM3,False,TPM3,tb
RALA,False,RALA,tb
PRKAR2B,False,PRKAR2B,dis
PRKAR1A,False,PRKAR1A,tb
MAP3K8,False,MAP3K8,tb
VDR,False,VDR,tb
NTNG2,False,NTNG2,tb
SEMA7A,False,SEMA7A,tb
PDE2A,False,PDE2A,tb
RFX7,False,RFX7,tb
PLXNC1,False,PLXNC1,dis
R3HDM2,False,R3HDM2,tb
SEMA6B,False,SEMA6B,tb
SEMA4D,False,SEMA4D,dis
PMEPA1,False,PMEPA1,tb
SKIL,False,SKIL,tb
PSME1,False,PSME1,tb
PVRL3,False,PVRL3,
SHROOM3,False,SHROOM3,dis
TFPI,False,TFPI,tb
SH3RF1,False,SH3RF1,dis
SLC1A4,False,SLC1A4,tb
SLC43A2,False,SLC43A2,tb
SLC25A19,False,SLC25A19,tb
STX8,False,STX8,tb
SLC39A8,False,SLC39A8,dis
SLC41A2,False,SLC41A2,dis
SYNGR3,False,SYNGR3,tb
TMEM57,False,TMEM57,
YPEL4,False,YPEL4,tb
