"name","selected","shared name"
"ABCB1","false","ABCB1"
"ABCG2","false","ABCG2"
"ABL1","false","ABL1"
"ABCG1","false","ABCG1"
"PPARG","false","PPARG"
"OLR1","false","OLR1"
"SLCO4A1","false","SLCO4A1"
"ENG","false","ENG"
"CD38","false","CD38"
"SPAG9","false","SPAG9"
"WWTR1","false","WWTR1"
"ADORA2B","false","ADORA2B"
"P2RY13","false","P2RY13"
"P2RY1","false","P2RY1"
"AGO2","false","AGO2"
"LRRK2","false","LRRK2"
"EIF4E","false","EIF4E"
"AIF1","false","AIF1"
"SYN1","false","SYN1"
"OLIG2","false","OLIG2"
"CCL5","false","CCL5"
"AKR7A2","false","AKR7A2"
"MSC","false","MSC"
"APOL3","false","APOL3"
"GBP1","false","GBP1"
"ARHGEF7","false","ARHGEF7"
"CAMK1","false","CAMK1"
"ATP6V0D2","false","ATP6V0D2"
"NPRL3","false","NPRL3"
"BAX","false","BAX"
"TNFSF10","false","TNFSF10"
"BBS9","false","BBS9"
"IFT27","false","IFT27"
"C1S","false","C1S"
"VAMP5","false","VAMP5"
"FCN1","false","FCN1"
"CFB","false","CFB"
"CARS2","false","CARS2"
"CTH","false","CTH"
"FARS2","false","FARS2"
"CCL15","false","CCL15"
"CXCR6","false","CXCR6"
"SERPINE1","false","SERPINE1"
"ITGAL","false","ITGAL"
"IL32","false","IL32"
"IL21R","false","IL21R"
"CD58","false","CD58"
"PRDM1","false","PRDM1"
"PRKCB","false","PRKCB"
"CDK19","false","CDK19"
"MED14","false","MED14"
"COL7A1","false","COL7A1"
"TRAPPC6A","false","TRAPPC6A"
"PLOD1","false","PLOD1"
"ITGAV","false","ITGAV"
"SORD","false","SORD"
"TSTD1","false","TSTD1"
"JAK3","false","JAK3"
"DDI2","false","DDI2"
"NFE2L3","false","NFE2L3"
"DNAJB5","false","DNAJB5"
"GSPT1","false","GSPT1"
"ECHS1","false","ECHS1"
"GDF15","false","GDF15"
"ITGA5","false","ITGA5"
"EPSTI1","false","EPSTI1"
"FABP3","false","FABP3"
"PLIN2","false","PLIN2"
"RBPJ","false","RBPJ"
"FGFR1","false","FGFR1"
"PIK3R2","false","PIK3R2"
"PSME2","false","PSME2"
"GBP2","false","GBP2"
"IFITM1","false","IFITM1"
"GEM","false","GEM"
"SYNJ2","false","SYNJ2"
"GNA12","false","GNA12"
"LPAR3","false","LPAR3"
"GPD1","false","GPD1"
"PPAP2B","false","PPAP2B"
"IL15RA","false","IL15RA"
"INPP4B","false","INPP4B"
"PLAU","false","PLAU"
"LIMS1","false","LIMS1"
"SPHK1","false","SPHK1"
"LGMN","false","LGMN"
"TNS1","false","TNS1"
"LMNA","false","LMNA"
"TPM3","false","TPM3"
"RALA","false","RALA"
"PRKAR2B","false","PRKAR2B"
"PRKAR1A","false","PRKAR1A"
"MAP3K8","false","MAP3K8"
"VDR","false","VDR"
"NTNG2","false","NTNG2"
"SEMA7A","false","SEMA7A"
"PDE2A","false","PDE2A"
"RFX7","false","RFX7"
"PLXNC1","false","PLXNC1"
"R3HDM2","false","R3HDM2"
"SEMA6B","false","SEMA6B"
"SEMA4D","false","SEMA4D"
"PMEPA1","false","PMEPA1"
"SKIL","false","SKIL"
"PSME1","false","PSME1"
"PVRL3","false","PVRL3"
"SHROOM3","false","SHROOM3"
"TFPI","false","TFPI"
"SH3RF1","false","SH3RF1"
"SLC1A4","false","SLC1A4"
"SLC43A2","false","SLC43A2"
"SLC25A19","false","SLC25A19"
"STX8","false","STX8"
"SLC39A8","false","SLC39A8"
"SLC41A2","false","SLC41A2"
"SYNGR3","false","SYNGR3"
"TMEM57","false","TMEM57"
"YPEL4","false","YPEL4"
