name,selected,shared name,type
AASDHPPT,False,AASDHPPT,dis
ATP5B,False,ATP5B,
OXSM,False,OXSM,dis
ANKHD1-EIF4EBP3,False,ANKHD1-EIF4EBP3,dis
ANKHD1,False,ANKHD1,dis
IDH3A,False,IDH3A,dis
ABCB1,False,ABCB1,tb
RPA1,False,RPA1,dis
ABL1,False,ABL1,tb
ABCG1,False,ABCG1,tb
PPARG,False,PPARG,tb
OLR1,False,OLR1,tb
SPAG9,False,SPAG9,tb
PTS,False,PTS,dis
EIF3A,False,EIF3A,dis
ACSL1,False,ACSL1,dis
PLIN2,False,PLIN2,tb
ECHS1,False,ECHS1,tb
ELOVL4,False,ELOVL4,tb
SCP2,False,SCP2,dis
ECI2,False,ECI2,dis
HADHA,False,HADHA,dis
HADH,False,HADH,dis
AGO2,False,AGO2,tb
SERBP1,False,SERBP1,dis
EEF1A1,False,EEF1A1,dis
ILF2,False,ILF2,dis
G3BP2,False,G3BP2,dis
EIF4E,False,EIF4E,tb
AHCY,False,AHCY,dis
APEX1,False,APEX1,dis
RPL3,False,RPL3,dis
RPLP0,False,RPLP0,dis
CTH,False,CTH,tb
AIF1,False,AIF1,tb
SYN1,False,SYN1,tb
OLIG2,False,OLIG2,tb
AKAP11,False,AKAP11,dis
SPHK1,False,SPHK1,tb
AKAP12,False,AKAP12,tb
PPP1CC,False,PPP1CC,dis
PRKAR1A,False,PRKAR1A,tb
AKR7A2,False,AKR7A2,tb
MSC,False,MSC,tb
ENSP00000442453,False,ENSP00000442453,
ANKRD46,False,ANKRD46,dis
CARS2,False,CARS2,tb
LGMN,False,LGMN,tb
ARCN1,False,ARCN1,dis
BET1,False,BET1,dis
RPL17,False,RPL17,dis
DDOST,False,DDOST,dis
STX8,False,STX8,tb
SEC63,False,SEC63,dis
USO1,False,USO1,dis
TMED7,False,TMED7,dis
TMED10,False,TMED10,dis
ARHGEF7,False,ARHGEF7,tb
CAMK1,False,CAMK1,tb
ARPP19,False,ARPP19,common
STOML2,False,STOML2,dis
HSPE1,False,HSPE1,dis
PRDX4,False,PRDX4,dis
YIPF5,False,YIPF5,tb
TMEM70,False,TMEM70,dis
VDAC3,False,VDAC3,dis
SLC25A5,False,SLC25A5,dis
UQCRC2,False,UQCRC2,dis
ATRX,False,ATRX,dis
UBE3A,False,UBE3A,dis
BRWD1,False,BRWD1,dis
FGFR1,False,FGFR1,tb
BAX,False,BAX,tb
BCL2L2,False,BCL2L2,dis
MFN1,False,MFN1,dis
SH3GLB1,False,SH3GLB1,dis
BBS9,False,BBS9,tb
IFT27,False,IFT27,tb
COL7A1,False,COL7A1,tb
PSMG1,False,PSMG1,dis
BUB3,False,BUB3,dis
PPP1R7,False,PPP1R7,dis
MAPRE1,False,MAPRE1,dis
PAFAH1B1,False,PAFAH1B1,tb
CALM1,False,CALM1,dis
RALA,False,RALA,tb
OAZ1,False,OAZ1,dis
DAP,False,DAP,dis
CAMSAP2,False,CAMSAP2,tb
FARS2,False,FARS2,tb
IARS,False,IARS,
CCDC47,False,CCDC47,dis
RPL15,False,RPL15,dis
CD109,False,CD109,tb
EXOC1,False,EXOC1,dis
CD58,False,CD58,tb
ITGAL,False,ITGAL,tb
CDC40,False,CDC40,dis
SRSF6,False,SRSF6,dis
SRSF10,False,SRSF10,dis
CDK19,False,CDK19,tb
MED14,False,MED14,tb
TCEA1,False,TCEA1,dis
CHMP3,False,CHMP3,dis
PIKFYVE,False,PIKFYVE,dis
CLK1,False,CLK1,dis
CLN8,False,CLN8,tb
WDR12,False,WDR12,dis
TRAPPC6A,False,TRAPPC6A,tb
PLOD1,False,PLOD1,tb
ITGAV,False,ITGAV,tb
CTBP2,False,CTBP2,dis
RBPJ,False,RBPJ,tb
SORD,False,SORD,tb
TSTD1,False,TSTD1,tb
CXCR6,False,CXCR6,tb
GRK6,False,GRK6,dis
DCTD,False,DCTD,dis
SLC43A2,False,SLC43A2,tb
DCTN6,False,DCTN6,dis
PMEPA1,False,PMEPA1,tb
DDI2,False,DDI2,tb
