"name","selected","shared name"
"AASDHPPT","false","AASDHPPT"
"ATP5B","false","ATP5B"
"OXSM","false","OXSM"
"ANKHD1-EIF4EBP3","false","ANKHD1-EIF4EBP3"
"ANKHD1","false","ANKHD1"
"IDH3A","false","IDH3A"
"ABCB1","false","ABCB1"
"RPA1","false","RPA1"
"ABL1","false","ABL1"
"ABCG1","false","ABCG1"
"PPARG","false","PPARG"
"OLR1","false","OLR1"
"SPAG9","false","SPAG9"
"PTS","false","PTS"
"EIF3A","false","EIF3A"
"ACSL1","false","ACSL1"
"PLIN2","false","PLIN2"
"ECHS1","false","ECHS1"
"ELOVL4","false","ELOVL4"
"SCP2","false","SCP2"
"ECI2","false","ECI2"
"HADHA","false","HADHA"
"HADH","false","HADH"
"AGO2","false","AGO2"
"SERBP1","false","SERBP1"
"EEF1A1","false","EEF1A1"
"ILF2","false","ILF2"
"G3BP2","false","G3BP2"
"EIF4E","false","EIF4E"
"AHCY","false","AHCY"
"APEX1","false","APEX1"
"RPL3","false","RPL3"
"RPLP0","false","RPLP0"
"CTH","false","CTH"
"AIF1","false","AIF1"
"SYN1","false","SYN1"
"OLIG2","false","OLIG2"
"AKAP11","false","AKAP11"
"SPHK1","false","SPHK1"
"AKAP12","false","AKAP12"
"PPP1CC","false","PPP1CC"
"PRKAR1A","false","PRKAR1A"
"AKR7A2","false","AKR7A2"
"MSC","false","MSC"
"ENSP00000442453","false","ENSP00000442453"
"ANKRD46","false","ANKRD46"
"CARS2","false","CARS2"
"LGMN","false","LGMN"
"ARCN1","false","ARCN1"
"BET1","false","BET1"
"RPL17","false","RPL17"
"DDOST","false","DDOST"
"STX8","false","STX8"
"SEC63","false","SEC63"
"USO1","false","USO1"
"TMED7","false","TMED7"
"TMED10","false","TMED10"
"ARHGEF7","false","ARHGEF7"
"CAMK1","false","CAMK1"
"ARPP19","false","ARPP19"
"STOML2","false","STOML2"
"HSPE1","false","HSPE1"
"PRDX4","false","PRDX4"
"YIPF5","false","YIPF5"
"TMEM70","false","TMEM70"
"VDAC3","false","VDAC3"
"SLC25A5","false","SLC25A5"
"UQCRC2","false","UQCRC2"
"ATRX","false","ATRX"
"UBE3A","false","UBE3A"
"BRWD1","false","BRWD1"
"FGFR1","false","FGFR1"
"BAX","false","BAX"
"BCL2L2","false","BCL2L2"
"MFN1","false","MFN1"
"SH3GLB1","false","SH3GLB1"
"BBS9","false","BBS9"
"IFT27","false","IFT27"
"COL7A1","false","COL7A1"
"PSMG1","false","PSMG1"
"BUB3","false","BUB3"
"PPP1R7","false","PPP1R7"
"MAPRE1","false","MAPRE1"
"PAFAH1B1","false","PAFAH1B1"
"CALM1","false","CALM1"
"RALA","false","RALA"
"OAZ1","false","OAZ1"
"DAP","false","DAP"
"CAMSAP2","false","CAMSAP2"
"FARS2","false","FARS2"
"IARS","false","IARS"
"CCDC47","false","CCDC47"
"RPL15","false","RPL15"
"CD109","false","CD109"
"EXOC1","false","EXOC1"
"CD58","false","CD58"
"ITGAL","false","ITGAL"
"CDC40","false","CDC40"
"SRSF6","false","SRSF6"
"SRSF10","false","SRSF10"
"CDK19","false","CDK19"
"MED14","false","MED14"
"TCEA1","false","TCEA1"
"CHMP3","false","CHMP3"
"PIKFYVE","false","PIKFYVE"
"CLK1","false","CLK1"
"CLN8","false","CLN8"
"WDR12","false","WDR12"
"TRAPPC6A","false","TRAPPC6A"
"PLOD1","false","PLOD1"
"ITGAV","false","ITGAV"
"CTBP2","false","CTBP2"
"RBPJ","false","RBPJ"
"SORD","false","SORD"
"TSTD1","false","TSTD1"
"CXCR6","false","CXCR6"
"GRK6","false","GRK6"
"DCTD","false","DCTD"
"SLC43A2","false","SLC43A2"
"DCTN6","false","DCTN6"
"PMEPA1","false","PMEPA1"
"DDI2","false","DDI2"
"PSMD11","false","PSMD11"
"PSME2","false","PSME2"
"SSR1","false","SSR1"
"SEC62","false","SEC62"
"SPOCK2","false","SPOCK2"
"PSME1","false","PSME1"
"PDIA6","false","PDIA6"
"TMX1","false","TMX1"
"SEC11A","false","SEC11A"
"DHX29","false","DHX29"
"GPATCH2","false","GPATCH2"
"DNAJB5","false","DNAJB5"
"ISOC1","false","ISOC1"
"GSPT1","false","GSPT1"
"DNAJB9","false","DNAJB9"
"SEL1L","false","SEL1L"
"ERO1LB","false","ERO1LB"
"DUSP23","false","DUSP23"
"PEX2","false","PEX2"
"GSTK1","false","GSTK1"
