name,selected,shared name,type
ABCB1,False,ABCB1,tb
HSP90AA1,False,HSP90AA1,dis
ABL1,False,ABL1,tb
HIF1A,False,HIF1A,dis
VEGFA,False,VEGFA,dis
ABCG1,False,ABCG1,tb
PPARG,False,PPARG,tb
OLR1,False,OLR1,tb
SPAG9,False,SPAG9,tb
FOS,False,FOS,dis
ATF3,False,ATF3,dis
ACSL1,False,ACSL1,dis
PLIN2,False,PLIN2,common
ECHS1,False,ECHS1,tb
ELOVL4,False,ELOVL4,tb
AGO2,False,AGO2,tb
THBS1,False,THBS1,dis
HSPA1B,False,HSPA1B,dis
HIST1H2BK,False,HIST1H2BK,
ZFP36,False,ZFP36,dis
EIF4E,False,EIF4E,tb
AIF1,False,AIF1,tb
SYN1,False,SYN1,tb
GLUL,False,GLUL,dis
OLIG2,False,OLIG2,tb
NLRP3,False,NLRP3,dis
CXCR4,False,CXCR4,dis
CCL5,False,CCL5,dis
AKR7A2,False,AKR7A2,tb
MSC,False,MSC,tb
BCL2A1,False,BCL2A1,dis
NFE2L2,False,NFE2L2,dis
ANXA4,False,ANXA4,tb
AQP9,False,AQP9,dis
TREM1,False,TREM1,dis
FPR1,False,FPR1,dis
ARHGEF7,False,ARHGEF7,tb
HBEGF,False,HBEGF,dis
CAMK1,False,CAMK1,tb
NR4A2,False,NR4A2,dis
PPP1R15A,False,PPP1R15A,dis
DUSP1,False,DUSP1,dis
HSPB1,False,HSPB1,dis
BHLHE40,False,BHLHE40,dis
FOSL2,False,FOSL2,dis
CREM,False,CREM,dis
NFIL3,False,NFIL3,dis
JUNB,False,JUNB,dis
CEBPB,False,CEBPB,dis
HSPA1A,False,HSPA1A,dis
MAFB,False,MAFB,dis
CEBPD,False,CEBPD,dis
KLF4,False,KLF4,dis
BAG3,False,BAG3,dis
DNAJB1,False,DNAJB1,dis
DNAJB6,False,DNAJB6,dis
HSPH1,False,HSPH1,dis
SGK1,False,SGK1,dis
LMNA,False,LMNA,tb
BAX,False,BAX,tb
PPIF,False,PPIF,dis
HK2,False,HK2,dis
BBS9,False,BBS9,tb
IFT27,False,IFT27,tb
CARD16,False,CARD16,tb
BTG1,False,BTG1,dis
PRMT9,False,PRMT9,tb
C5AR1,False,C5AR1,dis
ITGAL,False,ITGAL,tb
FCN1,False,FCN1,tb
CD55,False,CD55,dis
CARS2,False,CARS2,tb
CTH,False,CTH,tb
FARS2,False,FARS2,tb
TIMP1,False,TIMP1,dis
SERPINE1,False,SERPINE1,tb
GZMA,False,GZMA,dis
CD83,False,CD83,dis
CXCR6,False,CXCR6,tb
IL32,False,IL32,tb
CCNH,False,CCNH,dis
MED14,False,MED14,tb
CDK19,False,CDK19,tb
TFPI,False,TFPI,tb
CD58,False,CD58,tb
THBD,False,THBD,dis
SLC25A19,False,SLC25A19,tb
VDR,False,VDR,tb
COL7A1,False,COL7A1,tb
TRAPPC6A,False,TRAPPC6A,tb
PLOD1,False,PLOD1,tb
ITGAV,False,ITGAV,tb
PDE4B,False,PDE4B,dis
PRKAR1A,False,PRKAR1A,tb
SORD,False,SORD,tb
TSTD1,False,TSTD1,tb
CYTIP,False,CYTIP,dis
GNA12,False,GNA12,tb
ITGA5,False,ITGA5,tb
PLAUR,False,PLAUR,dis
RGS16,False,RGS16,tb
TPM3,False,TPM3,tb
PLAU,False,PLAU,tb
ENG,False,ENG,tb
IFITM1,False,IFITM1,tb
MAP3K8,False,MAP3K8,tb
TMEM51,False,TMEM51,tb
IL21R,False,IL21R,tb
GPR183,False,GPR183,dis
GSPT1,False,GSPT1,tb
DNAJB5,False,DNAJB5,tb
IER3,False,IER3,dis
DUSP23,False,DUSP23,tb
DUSP10,False,DUSP10,dis
PIK3R2,False,PIK3R2,tb
PLK3,False,PLK3,dis
FGFR1,False,FGFR1,tb
H3F3B,False,H3F3B,
IFNGR1,False,IFNGR1,dis
PRKCB,False,PRKCB,tb
FTH1,False,FTH1,dis
G0S2,False,G0S2,dis
GABBR1,False,GABBR1,tb
GEM,False,GEM,tb
SYNJ2,False,SYNJ2,tb
GFPT2,False,GFPT2,tb
GPR56,False,GPR56,
PAFAH1B1,False,PAFAH1B1,tb
LGMN,False,LGMN,tb
H1FX,False,H1FX,
HIST2H2AA,False,HIST2H2AA,
HBA1,False,HBA1,dis
HBA2,False,HBA2,dis
NPRL3,False,NPRL3,tb
HBB,False,HBB,dis
SLC2A3,False,SLC2A3,dis
NAMPT,False,NAMPT,dis
SPHK1,False,SPHK1,tb
RBPJ,False,RBPJ,tb
PFKFB3,False,PFKFB3,dis
STRA13,False,STRA13,
RALA,False,RALA,tb
TNS1,False,TNS1,tb
PSME2,False,PSME2,tb
INPP4B,False,INPP4B,tb
LIMS1,False,LIMS1,tb
LAT,False,LAT,dis
LUC7L3,False,LUC7L3,dis
NTNG2,False,NTNG2,tb
SEMA7A,False,SEMA7A,tb
PDE2A,False,PDE2A,tb
RFX7,False,RFX7,tb
PIGK,False,PIGK,tb
PMEPA1,False,PMEPA1,tb
SKIL,False,SKIL,tb
PPAP2B,False,PPAP2B,
PSME1,False,PSME1,tb
SEMA6B,False,SEMA6B,tb
SLC1A4,False,SLC1A4,tb
SLC43A2,False,SLC43A2,tb
STX8,False,STX8,tb
SYNGR3,False,SYNGR3,tb
TMEM57,False,TMEM57,
YPEL4,False,YPEL4,tb
