"name","selected","shared name"
"ABCB1","false","ABCB1"
"HSP90AA1","false","HSP90AA1"
"ABL1","false","ABL1"
"HIF1A","false","HIF1A"
"VEGFA","false","VEGFA"
"ABCG1","false","ABCG1"
"PPARG","false","PPARG"
"OLR1","false","OLR1"
"SPAG9","false","SPAG9"
"FOS","false","FOS"
"ATF3","false","ATF3"
"ACSL1","false","ACSL1"
"PLIN2","false","PLIN2"
"ECHS1","false","ECHS1"
"ELOVL4","false","ELOVL4"
"AGO2","false","AGO2"
"THBS1","false","THBS1"
"HSPA1B","false","HSPA1B"
"HIST1H2BK","false","HIST1H2BK"
"ZFP36","false","ZFP36"
"EIF4E","false","EIF4E"
"AIF1","false","AIF1"
"SYN1","false","SYN1"
"GLUL","false","GLUL"
"OLIG2","false","OLIG2"
"NLRP3","false","NLRP3"
"CXCR4","false","CXCR4"
"CCL5","false","CCL5"
"AKR7A2","false","AKR7A2"
"MSC","false","MSC"
"BCL2A1","false","BCL2A1"
"NFE2L2","false","NFE2L2"
"ANXA4","false","ANXA4"
"AQP9","false","AQP9"
"TREM1","false","TREM1"
"FPR1","false","FPR1"
"ARHGEF7","false","ARHGEF7"
"HBEGF","false","HBEGF"
"CAMK1","false","CAMK1"
"NR4A2","false","NR4A2"
"PPP1R15A","false","PPP1R15A"
"DUSP1","false","DUSP1"
"HSPB1","false","HSPB1"
"BHLHE40","false","BHLHE40"
"FOSL2","false","FOSL2"
"CREM","false","CREM"
"NFIL3","false","NFIL3"
"JUNB","false","JUNB"
"CEBPB","false","CEBPB"
"HSPA1A","false","HSPA1A"
"MAFB","false","MAFB"
"CEBPD","false","CEBPD"
"KLF4","false","KLF4"
"BAG3","false","BAG3"
"DNAJB1","false","DNAJB1"
"DNAJB6","false","DNAJB6"
"HSPH1","false","HSPH1"
"SGK1","false","SGK1"
"LMNA","false","LMNA"
"BAX","false","BAX"
"PPIF","false","PPIF"
"HK2","false","HK2"
"BBS9","false","BBS9"
"IFT27","false","IFT27"
"CARD16","false","CARD16"
"BTG1","false","BTG1"
"PRMT9","false","PRMT9"
"C5AR1","false","C5AR1"
"ITGAL","false","ITGAL"
"FCN1","false","FCN1"
"CD55","false","CD55"
"CARS2","false","CARS2"
"CTH","false","CTH"
"FARS2","false","FARS2"
"TIMP1","false","TIMP1"
"SERPINE1","false","SERPINE1"
"GZMA","false","GZMA"
"CD83","false","CD83"
"CXCR6","false","CXCR6"
"IL32","false","IL32"
"CCNH","false","CCNH"
"MED14","false","MED14"
"CDK19","false","CDK19"
"TFPI","false","TFPI"
"CD58","false","CD58"
"THBD","false","THBD"
"SLC25A19","false","SLC25A19"
"VDR","false","VDR"
"COL7A1","false","COL7A1"
"TRAPPC6A","false","TRAPPC6A"
"PLOD1","false","PLOD1"
"ITGAV","false","ITGAV"
"PDE4B","false","PDE4B"
"PRKAR1A","false","PRKAR1A"
"SORD","false","SORD"
"TSTD1","false","TSTD1"
"CYTIP","false","CYTIP"
"GNA12","false","GNA12"
"ITGA5","false","ITGA5"
"PLAUR","false","PLAUR"
"RGS16","false","RGS16"
"TPM3","false","TPM3"
"PLAU","false","PLAU"
"ENG","false","ENG"
"IFITM1","false","IFITM1"
"MAP3K8","false","MAP3K8"
"TMEM51","false","TMEM51"
"IL21R","false","IL21R"
"GPR183","false","GPR183"
"GSPT1","false","GSPT1"
"DNAJB5","false","DNAJB5"
"IER3","false","IER3"
"DUSP23","false","DUSP23"
"DUSP10","false","DUSP10"
"PIK3R2","false","PIK3R2"
"PLK3","false","PLK3"
"FGFR1","false","FGFR1"
"H3F3B","false","H3F3B"
"IFNGR1","false","IFNGR1"
"PRKCB","false","PRKCB"
"FTH1","false","FTH1"
"G0S2","false","G0S2"
"GABBR1","false","GABBR1"
"GEM","false","GEM"
"SYNJ2","false","SYNJ2"
"GFPT2","false","GFPT2"
"GPR56","false","GPR56"
"PAFAH1B1","false","PAFAH1B1"
"LGMN","false","LGMN"
"H1FX","false","H1FX"
"HIST2H2AA","false","HIST2H2AA"
"HBA1","false","HBA1"
"HBA2","false","HBA2"
"NPRL3","false","NPRL3"
"HBB","false","HBB"
"SLC2A3","false","SLC2A3"
"NAMPT","false","NAMPT"
"SPHK1","false","SPHK1"
"RBPJ","false","RBPJ"
"PFKFB3","false","PFKFB3"
"STRA13","false","STRA13"
"RALA","false","RALA"
"TNS1","false","TNS1"
"PSME2","false","PSME2"
"INPP4B","false","INPP4B"
"LIMS1","false","LIMS1"
"LAT","false","LAT"
"LUC7L3","false","LUC7L3"
"NTNG2","false","NTNG2"
"SEMA7A","false","SEMA7A"
"PDE2A","false","PDE2A"
"RFX7","false","RFX7"
"PIGK","false","PIGK"
"PMEPA1","false","PMEPA1"
"SKIL","false","SKIL"
"PPAP2B","false","PPAP2B"
"PSME1","false","PSME1"
"SEMA6B","false","SEMA6B"
"SLC1A4","false","SLC1A4"
"SLC43A2","false","SLC43A2"
"STX8","false","STX8"
"SYNGR3","false","SYNGR3"
"TMEM57","false","TMEM57"
"YPEL4","false","YPEL4"
