name,selected,shared name,type
ABCB1,False,ABCB1,tb
CD34,False,CD34,dis
CAV1,False,CAV1,dis
ABL1,False,ABL1,tb
CLDN5,False,CLDN5,dis
ABCG1,False,ABCG1,tb
PPARG,False,PPARG,tb
OLR1,False,OLR1,tb
LPL,False,LPL,dis
JAM2,False,JAM2,dis
CAT,False,CAT,dis
SPAG9,False,SPAG9,tb
TAL1,False,TAL1,dis
SLIT3,False,SLIT3,dis
GATA2,False,GATA2,dis
SLIT2,False,SLIT2,dis
ACACB,False,ACACB,dis
ACADL,False,ACADL,dis
FABP4,False,FABP4,dis
PLIN2,False,PLIN2,tb
ECHS1,False,ECHS1,tb
ADAMTS8,False,ADAMTS8,dis
CLEC3B,False,CLEC3B,dis
SEMA5A,False,SEMA5A,dis
ADAMTSL3,False,ADAMTSL3,dis
ADH1B,False,ADH1B,dis
ADIRF,False,ADIRF,dis
MMRN2,False,MMRN2,dis
AGER,False,AGER,dis
SERPINE1,False,SERPINE1,tb
VWF,False,VWF,dis
SORD,False,SORD,tb
SFTPC,False,SFTPC,dis
HMGB3,False,HMGB3,dis
THBD,False,THBD,dis
AIF1,False,AIF1,tb
AGTR1,False,AGTR1,dis
AGO2,False,AGO2,tb
QKI,False,QKI,dis
NOTCH4,False,NOTCH4,dis
EIF4E,False,EIF4E,tb
GNA12,False,GNA12,tb
TPM3,False,TPM3,tb
ENG,False,ENG,common
GRK5,False,GRK5,dis
SPP1,False,SPP1,dis
ARRB1,False,ARRB1,dis
SYN1,False,SYN1,tb
OLIG2,False,OLIG2,tb
PECAM1,False,PECAM1,dis
AKAP12,False,AKAP12,tb
PALM2AKAP2,False,PALM2AKAP2,dis
AKR7A2,False,AKR7A2,tb
MSC,False,MSC,tb
AOC3,False,AOC3,dis
ITGAL,False,ITGAL,tb
ARHGAP6,False,ARHGAP6,dis
CLDN18,False,CLDN18,dis
KDELR2,False,KDELR2,dis
GABBR1,False,GABBR1,tb
LDLRAD4,False,LDLRAD4,tb
ARHGEF7,False,ARHGEF7,tb
CAMK1,False,CAMK1,tb
TEK,False,TEK,dis
TGFBR3,False,TGFBR3,dis
EPAS1,False,EPAS1,dis
