"name","selected","shared name"
"ABCB1","false","ABCB1"
"CD34","false","CD34"
"CAV1","false","CAV1"
"ABL1","false","ABL1"
"CLDN5","false","CLDN5"
"ABCG1","false","ABCG1"
"PPARG","false","PPARG"
"OLR1","false","OLR1"
"LPL","false","LPL"
"JAM2","false","JAM2"
"CAT","false","CAT"
"SPAG9","false","SPAG9"
"TAL1","false","TAL1"
"SLIT3","false","SLIT3"
"GATA2","false","GATA2"
"SLIT2","false","SLIT2"
"ACACB","false","ACACB"
"ACADL","false","ACADL"
"FABP4","false","FABP4"
"PLIN2","false","PLIN2"
"ECHS1","false","ECHS1"
"ADAMTS8","false","ADAMTS8"
"CLEC3B","false","CLEC3B"
"SEMA5A","false","SEMA5A"
"ADAMTSL3","false","ADAMTSL3"
"ADH1B","false","ADH1B"
"ADIRF","false","ADIRF"
"MMRN2","false","MMRN2"
"AGER","false","AGER"
"SERPINE1","false","SERPINE1"
"VWF","false","VWF"
"SORD","false","SORD"
"SFTPC","false","SFTPC"
"HMGB3","false","HMGB3"
"THBD","false","THBD"
"AIF1","false","AIF1"
"AGTR1","false","AGTR1"
"AGO2","false","AGO2"
"QKI","false","QKI"
"NOTCH4","false","NOTCH4"
"EIF4E","false","EIF4E"
"GNA12","false","GNA12"
"TPM3","false","TPM3"
"ENG","false","ENG"
"GRK5","false","GRK5"
"SPP1","false","SPP1"
"ARRB1","false","ARRB1"
"SYN1","false","SYN1"
"OLIG2","false","OLIG2"
"PECAM1","false","PECAM1"
"AKAP12","false","AKAP12"
"PALM2AKAP2","false","PALM2AKAP2"
"AKR7A2","false","AKR7A2"
"MSC","false","MSC"
"AOC3","false","AOC3"
"ITGAL","false","ITGAL"
"ARHGAP6","false","ARHGAP6"
"CLDN18","false","CLDN18"
"KDELR2","false","KDELR2"
"GABBR1","false","GABBR1"
"LDLRAD4","false","LDLRAD4"
"ARHGEF7","false","ARHGEF7"
"CAMK1","false","CAMK1"
"TEK","false","TEK"
"TGFBR3","false","TGFBR3"
"EPAS1","false","EPAS1"
"SASH1","false","SASH1"
"LMNA","false","LMNA"
"EDNRB","false","EDNRB"
"PAICS","false","PAICS"
"CXCR6","false","CXCR6"
"BAX","false","BAX"
"BBS9","false","BBS9"
"KIAA1462","false","KIAA1462"
"IFT27","false","IFT27"
"CA4","false","CA4"
"ITIH5","false","ITIH5"
"CAMSAP2","false","CAMSAP2"
"DENND3","false","DENND3"
"MACF1","false","MACF1"
"CARS2","false","CARS2"
"CTH","false","CTH"
"RGCC","false","RGCC"
"FARS2","false","FARS2"
"NME1-NME2","false","NME1-NME2"
"NME1","false","NME1"
"DUOX1","false","DUOX1"
"GPX3","false","GPX3"
"GSTK1","false","GSTK1"
"CAV2","false","CAV2"
"TFPI","false","TFPI"
"TBX2","false","TBX2"
"DLC1","false","DLC1"
"CD109","false","CD109"
"S1PR1","false","S1PR1"
"SDPR","false","SDPR"
"KCNK3","false","KCNK3"
"LEPR","false","LEPR"
"STARD13","false","STARD13"
"PLAU","false","PLAU"
"CD36","false","CD36"
"EMP2","false","EMP2"
"CDH5","false","CDH5"
"FGFR1","false","FGFR1"
"IFITM1","false","IFITM1"
"PRKCB","false","PRKCB"
"CD93","false","CD93"
"LYVE1","false","LYVE1"
"LMO2","false","LMO2"
"ITGAV","false","ITGAV"
"ITGA5","false","ITGA5"
"EMCN","false","EMCN"
"FIGF","false","FIGF"
"TIE1","false","TIE1"
"CD58","false","CD58"
"ITM2A","false","ITM2A"
"MED14","false","MED14"
"CDK19","false","CDK19"
"FCN1","false","FCN1"
"FCN3","false","FCN3"
"RASIP1","false","RASIP1"
"KLF2","false","KLF2"
"PTPRB","false","PTPRB"
"ERG","false","ERG"
"CFD","false","CFD"
"CHRDL1","false","CHRDL1"
"SOSTDC1","false","SOSTDC1"
"MFAP4","false","MFAP4"
"TMEM204","false","TMEM204"
