"name","selected","shared name"
"ABCB1","false","ABCB1"
"ALDH1A1","false","ALDH1A1"
"ABL1","false","ABL1"
"ABCG1","false","ABCG1"
"PPARG","false","PPARG"
"OLR1","false","OLR1"
"SPAG9","false","SPAG9"
"AGO2","false","AGO2"
"EIF4E","false","EIF4E"
"AIF1","false","AIF1"
"SYN1","false","SYN1"
"GLUL","false","GLUL"
"OLIG2","false","OLIG2"
"CCL3","false","CCL3"
"AKR7A2","false","AKR7A2"
"MSC","false","MSC"
"ARHGEF7","false","ARHGEF7"
"CAMK1","false","CAMK1"
"BBS9","false","BBS9"
"IFT27","false","IFT27"
"CARS2","false","CARS2"
"CTH","false","CTH"
"FARS2","false","FARS2"
"SERPINE1","false","SERPINE1"
"EGR2","false","EGR2"
"ITGAL","false","ITGAL"
"CD83","false","CD83"
"CXCR6","false","CXCR6"
"CXCL2","false","CXCL2"
"CCL3L3","false","CCL3L3"
"CD58","false","CD58"
"PLIN2","false","PLIN2"
"LMNA","false","LMNA"
"THBD","false","THBD"
"CDK19","false","CDK19"
"MED14","false","MED14"
"COL7A1","false","COL7A1"
"TRAPPC6A","false","TRAPPC6A"
"PLOD1","false","PLOD1"
"ITGAV","false","ITGAV"
"SORD","false","SORD"
"TSTD1","false","TSTD1"
"IL32","false","IL32"
"DNAJB5","false","DNAJB5"
"GSPT1","false","GSPT1"
"IL21R","false","IL21R"
"NR4A3","false","NR4A3"
"NR4A1","false","NR4A1"
"ENG","false","ENG"
"ITGA5","false","ITGA5"
"FGFR1","false","FGFR1"
"PIK3R2","false","PIK3R2"
"GEM","false","GEM"
"SYNJ2","false","SYNJ2"
"GFPT2","false","GFPT2"
"GPR183","false","GPR183"
"IFITM1","false","IFITM1"
"INPP4B","false","INPP4B"
"PLAU","false","PLAU"
"LIMS1","false","LIMS1"
"SPHK1","false","SPHK1"
"LGMN","false","LGMN"
"PSME2","false","PSME2"
"TNS1","false","TNS1"
"PRKCB","false","PRKCB"
"TPM3","false","TPM3"
"MAP3K8","false","MAP3K8"
"VDR","false","VDR"
"NTNG2","false","NTNG2"
"SEMA7A","false","SEMA7A"
"PDE2A","false","PDE2A"
"PRKAR1A","false","PRKAR1A"
"RFX7","false","RFX7"
"PMEPA1","false","PMEPA1"
"SKIL","false","SKIL"
"PPAP2B","false","PPAP2B"
"PSME1","false","PSME1"
"TFPI","false","TFPI"
"SLC1A4","false","SLC1A4"
"SLC43A2","false","SLC43A2"
"SLC25A19","false","SLC25A19"
"STX8","false","STX8"
"SYNGR3","false","SYNGR3"
"TMEM57","false","TMEM57"
"YPEL4","false","YPEL4"
