#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AASDHPPT	ATP5B	9606.ENSP00000278618	9606.ENSP00000262030	0.050	0	0	0	0	0	0	0.608	0.611
AASDHPPT	OXSM	9606.ENSP00000278618	9606.ENSP00000280701	0.295	0	0	0	0	0	0	0.293	0.480
AASDHPPT	ANKHD1-EIF4EBP3	9606.ENSP00000278618	9606.ENSP00000432016	0	0	0	0	0	0.525	0	0	0.525
AASDHPPT	ANKHD1	9606.ENSP00000278618	9606.ENSP00000354085	0	0	0	0	0.074	0.525	0	0	0.541
AASDHPPT	IDH3A	9606.ENSP00000278618	9606.ENSP00000299518	0	0	0	0	0	0	0	0.554	0.554
ABCB1	RPA1	9606.ENSP00000478255	9606.ENSP00000254719	0	0	0	0	0.065	0	0.900	0.048	0.903
ABCB1	ABL1	9606.ENSP00000478255	9606.ENSP00000361423	0	0	0	0	0	0.060	0	0.417	0.429
ABCG1	PPARG	9606.ENSP00000354995	9606.ENSP00000287820	0	0	0	0	0	0.075	0	0.684	0.695
ABCG1	OLR1	9606.ENSP00000354995	9606.ENSP00000309124	0	0	0	0	0.062	0	0	0.602	0.610
ABL1	SPAG9	9606.ENSP00000361423	9606.ENSP00000262013	0	0	0	0	0.062	0.282	0.600	0.117	0.730
ABL1	PTS	9606.ENSP00000361423	9606.ENSP00000280362	0.041	0	0	0	0	0	0	0.425	0.425
ABL1	EIF3A	9606.ENSP00000361423	9606.ENSP00000358140	0	0	0	0	0	0	0	0.505	0.505
ACSL1	PLIN2	9606.ENSP00000422607	9606.ENSP00000276914	0	0	0	0	0	0	0	0.559	0.559
ACSL1	PPARG	9606.ENSP00000422607	9606.ENSP00000287820	0	0	0	0	0.062	0	0	0.574	0.583
ACSL1	ECHS1	9606.ENSP00000422607	9606.ENSP00000357535	0.052	0	0	0	0.146	0.104	0	0.379	0.489
ACSL1	ELOVL4	9606.ENSP00000422607	9606.ENSP00000358831	0	0	0	0	0.062	0.056	0	0.402	0.424
ACSL1	SCP2	9606.ENSP00000422607	9606.ENSP00000360569	0	0	0	0	0.516	0	0	0.279	0.636
ACSL1	ECI2	9606.ENSP00000422607	9606.ENSP00000369461	0.052	0	0	0	0.231	0.357	0	0.501	0.735
ACSL1	HADHA	9606.ENSP00000422607	9606.ENSP00000370023	0.052	0	0	0	0.105	0.104	0	0.548	0.611
ACSL1	HADH	9606.ENSP00000422607	9606.ENSP00000474560	0.078	0	0	0	0.110	0	0	0.444	0.504
AGO2	SERBP1	9606.ENSP00000220592	9606.ENSP00000360034	0	0	0	0	0	0.258	0	0.268	0.434
AGO2	EEF1A1	9606.ENSP00000220592	9606.ENSP00000339063	0	0	0	0	0.062	0.270	0	0.259	0.449
AGO2	ILF2	9606.ENSP00000220592	9606.ENSP00000355011	0	0	0	0	0.062	0.432	0	0.268	0.577
AGO2	G3BP2	9606.ENSP00000220592	9606.ENSP00000352738	0	0	0	0	0.110	0.490	0	0.249	0.629
AGO2	EIF4E	9606.ENSP00000220592	9606.ENSP00000425561	0	0	0	0	0.062	0.420	0.900	0.869	0.992
AHCY	APEX1	9606.ENSP00000217426	9606.ENSP00000216714	0	0	0	0	0.360	0	0	0.108	0.404
AHCY	RPL3	9606.ENSP00000217426	9606.ENSP00000346001	0	0	0	0	0.385	0	0	0.068	0.403
AHCY	ATP5B	9606.ENSP00000217426	9606.ENSP00000262030	0	0	0	0	0.233	0	0	0.357	0.486
AHCY	EEF1A1	9606.ENSP00000217426	9606.ENSP00000339063	0	0	0	0	0.358	0	0	0.249	0.497
