#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB1	HSP90AA1	9606.ENSP00000478255	9606.ENSP00000335153	0	0	0	0	0	0.091	0	0.395	0.427
ABCB1	ABL1	9606.ENSP00000478255	9606.ENSP00000361423	0	0	0	0	0	0.060	0	0.417	0.429
ABCB1	HIF1A	9606.ENSP00000478255	9606.ENSP00000437955	0	0	0	0	0.054	0	0	0.598	0.603
ABCB1	VEGFA	9606.ENSP00000478255	9606.ENSP00000478570	0	0	0	0	0.062	0	0	0.505	0.515
ABCG1	PPARG	9606.ENSP00000354995	9606.ENSP00000287820	0	0	0	0	0	0.075	0	0.684	0.695
ABCG1	OLR1	9606.ENSP00000354995	9606.ENSP00000309124	0	0	0	0	0.062	0	0	0.602	0.610
ABL1	SPAG9	9606.ENSP00000361423	9606.ENSP00000262013	0	0	0	0	0.062	0.282	0.600	0.117	0.730
ABL1	FOS	9606.ENSP00000361423	9606.ENSP00000306245	0	0	0	0	0	0.287	0	0.396	0.551
ABL1	HSP90AA1	9606.ENSP00000361423	9606.ENSP00000335153	0	0	0	0	0	0.829	0	0.856	0.974
ABL1	ATF3	9606.ENSP00000361423	9606.ENSP00000344352	0	0	0	0	0	0.064	0	0.433	0.447
ABL1	HIF1A	9606.ENSP00000361423	9606.ENSP00000437955	0	0	0	0	0	0.070	0	0.394	0.413
ABL1	VEGFA	9606.ENSP00000361423	9606.ENSP00000478570	0	0	0	0	0.065	0	0	0.457	0.470
ACSL1	PLIN2	9606.ENSP00000422607	9606.ENSP00000276914	0	0	0	0	0	0	0	0.559	0.559
ACSL1	PPARG	9606.ENSP00000422607	9606.ENSP00000287820	0	0	0	0	0.062	0	0	0.574	0.583
ACSL1	ECHS1	9606.ENSP00000422607	9606.ENSP00000357535	0.052	0	0	0	0.146	0.104	0	0.379	0.489
ACSL1	ELOVL4	9606.ENSP00000422607	9606.ENSP00000358831	0	0	0	0	0.062	0.056	0	0.402	0.424
AGO2	THBS1	9606.ENSP00000220592	9606.ENSP00000260356	0	0	0	0	0	0	0	0.439	0.439
AGO2	HSPA1B	9606.ENSP00000220592	9606.ENSP00000364801	0	0	0	0	0.057	0.426	0	0.138	0.492
AGO2	HIST1H2BK	9606.ENSP00000220592	9606.ENSP00000349430	0	0.002	0	0	0	0.058	0.600	0	0.607
AGO2	ZFP36	9606.ENSP00000220592	9606.ENSP00000469647	0	0	0	0	0.066	0.143	0	0.747	0.780
AGO2	EIF4E	9606.ENSP00000220592	9606.ENSP00000425561	0	0	0	0	0.062	0.420	0.900	0.869	0.992
AGO2	HSP90AA1	9606.ENSP00000220592	9606.ENSP00000335153	0	0	0	0	0	0.845	0	0.989	0.998
AIF1	SYN1	9606.ENSP00000365227	9606.ENSP00000295987	0	0	0	0	0	0.076	0	0.460	0.479
AIF1	FOS	9606.ENSP00000365227	9606.ENSP00000306245	0	0	0	0	0.076	0.078	0	0.470	0.509
AIF1	GLUL	9606.ENSP00000365227	9606.ENSP00000307900	0	0	0	0	0.065	0	0	0.508	0.520
AIF1	OLIG2	9606.ENSP00000365227	9606.ENSP00000331040	0	0	0	0	0	0	0	0.747	0.747
AIF1	NLRP3	9606.ENSP00000365227	9606.ENSP00000337383	0	0	0	0	0.140	0	0	0.517	0.566
AIF1	ATF3	9606.ENSP00000365227	9606.ENSP00000344352	0	0	0	0	0	0.078	0	0.457	0.477
AIF1	CXCR4	9606.ENSP00000365227	9606.ENSP00000386884	0	0	0	0	0.140	0.056	0	0.324	0.403
AIF1	VEGFA	9606.ENSP00000365227	9606.ENSP00000478570	0	0	0	0	0	0	0	0.469	0.469
