#queryIndex	queryItem	stringId	preferredName	annotation
2	SNX25	9606.ENSP00000426255	SNX25	Sorting nexin-25; May be involved in several stages of intracellular trafficking; Sorting nexins
3	TMEM52B	9606.ENSP00000371348	TMEM52B	Transmembrane protein 52B
4	FGFR1	9606.ENSP00000393312	FGFR1	Fibroblast growth factor receptor 1; Tyrosine-protein kinase that acts as cell-surface receptor for fibroblast growth factors and plays an essential role in the regulation of embryonic development, cell proliferation, differentiation and migration. Required for normal mesoderm patterning and correct axial organization during embryonic development, normal skeletogenesis and normal development of the gonadotropin-releasing hormone (GnRH) neuronal system. Phosphorylates PLCG1, FRS2, GAB1 and SHB. Ligand binding leads to the activation of several signaling cascades. Activation of PLCG1 lea [...] 
5	RFX7	9606.ENSP00000453281	RFX7	DNA-binding protein RFX7; Regulatory factor X family; Belongs to the RFX family
6	SLC37A2	9606.ENSP00000311833	SLC37A2	Mfs transporter, opa family, solute carrier family 37 (glycerol-3-phosphate transporter), member 1/2; Glucose-6-phosphate exchanger SLC37A2; Inorganic phosphate and glucose-6-phosphate antiporter. May transport cytoplasmic glucose-6-phosphate into the lumen of the endoplasmic reticulum and translocate inorganic phosphate into the opposite direction. Independent of a lumenal glucose-6- phosphatase. May not play a role in homeostatic regulation of blood glucose levels; Solute carriers
7	GDF15	9606.ENSP00000252809	GDF15	Growth differentiation factor 15; Belongs to the TGF-beta family
8	ITGAL	9606.ENSP00000349252	ITGAL	Integrin subunit alpha l; Integrin alpha-L; Integrin alpha-L/beta-2 is a receptor for ICAM1, ICAM2, ICAM3 and ICAM4. Integrin alpha-L/beta-2 is also a receptor for F11R. Involved in a variety of immune phenomena including leukocyte-endothelial cell interaction, cytotoxic T-cell mediated killing, and antibody dependent killing by granulocytes and monocytes. Contributes to natural killer cell cytotoxicity. Involved in leukocyte adhesion and transmigration of leukocytes including T-cells and neutrophils. Required for generation of common lymphoid progenitor cells in bone marrow, indicatin [...] 
9	LMNA	9606.ENSP00000357283	LMNA	Prelamin-A/C; Lamins are components of the nuclear lamina, a fibrous layer on the nucleoplasmic side of the inner nuclear membrane, which is thought to provide a framework for the nuclear envelope and may also interact with chromatin. Lamin A and C are present in equal amounts in the lamina of mammals. Plays an important role in nuclear assembly, chromatin organization, nuclear membrane and telomere dynamics. Required for normal development of peripheral nervous system and skeletal muscle and for muscle satellite cell proliferation. Required for osteoblastogenesis and bone formation. A [...] 
11	TBCB	9606.ENSP00000221855	TBCB	Tubulin-folding cofactor B; Binds to alpha-tubulin folding intermediates after their interaction with cytosolic chaperonin in the pathway leading from newly synthesized tubulin to properly folded heterodimer. Involved in regulation of tubulin heterodimer dissociation. May function as a negative regulator of axonal growth (By similarity); Belongs to the TBCB family
13	EIF4E	9606.ENSP00000425561	EIF4E	Eukaryotic translation initiation factor 4E
14	SYNGR3	9606.ENSP00000248121	SYNGR3	Synaptogyrin-3; May play a role in regulated exocytosis. May indirectly regulate the activity of the plasma membrane dopamine transporter SLC6A3 and thereby regulate dopamine transport back from the synaptic cleft into the presynaptic terminal; Belongs to the synaptogyrin family
15	IL32	9606.ENSP00000432218	IL32	Interleukin-32; Interleukin 32; Interleukins
16	AHRR	9606.ENSP00000323816	AHRR	Aryl hydrocarbon receptor repressor; Mediates dioxin toxicity and is involved in regulation of cell growth and differentiation. Represses the transcription activity of AHR by competing with this transcription factor for heterodimer formation with the ARNT and subsequently binding to the xenobiotic response element (XRE) sequence present in the promoter regulatory region of variety of genes. Represses CYP1A1 by binding the XRE sequence and recruiting ANKRA2, HDAC4 and/or HDAC5. Autoregulates its expression by associating with its own XRE site; Basic helix-loop-helix proteins
17	GFPT2	9606.ENSP00000253778	GFPT2	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2; Controls the flux of glucose into the hexosamine pathway. Most likely involved in regulating the availability of precursors for N- and O-linked glycosylation of proteins
18	FAM177A1	9606.ENSP00000280987	FAM177A1	Protein FAM177A1; Family with sequence similarity 177 member A1
19	JAK3	9606.ENSP00000391676	JAK3	Tyrosine-protein kinase JAK3; Non-receptor tyrosine kinase involved in various processes such as cell growth, development, or differentiation. Mediates essential signaling events in both innate and adaptive immunity and plays a crucial role in hematopoiesis during T-cells development. In the cytoplasm, plays a pivotal role in signal transduction via its association with type I receptors sharing the common subunit gamma such as IL2R, IL4R, IL7R, IL9R, IL15R and IL21R. Following ligand binding to cell surface receptors, phosphorylates specific tyrosine residues on the cytoplasmic tails o [...] 
20	IFT27	9606.ENSP00000393541	IFT27	Intraflagellar transport protein 27 homolog; Small GTPase-like component of the intraflagellar transport (IFT) complex B that promotes the exit of the BBSome complex from cilia via its interaction with ARL6. Not involved in entry of the BBSome complex into cilium. Prevents aggregation of GTP-free ARL6. Required for hedgehog signaling. Forms a subcomplex within the IFT complex B with IFT25 (By similarity)
21	BCAR3	9606.ENSP00000359264	BCAR3	Breast cancer anti-estrogen resistance protein 3; May act as an adapter protein and couple activated growth factor receptors to a signaling pathway that regulates the proliferation in breast cancer cells. When overexpressed, it confers anti-estrogen resistance in breast cancer cell lines. May also be regulated by cellular adhesion to extracellular matrix proteins; NSP adaptor proteins
22	AIF1	9606.ENSP00000365227	AIF1	Allograft inflammatory factor 1; Actin-binding protein that enhances membrane ruffling and RAC activation. Enhances the actin-bundling activity of LCP1. Binds calcium. Plays a role in RAC signaling and in phagocytosis. May play a role in macrophage activation and function. Promotes the proliferation of vascular smooth muscle cells and of T- lymphocytes. Enhances lymphocyte migration. Plays a role in vascular inflammation; EF-hand domain containing
23	SLC25A19	9606.ENSP00000385312	SLC25A19	Mitochondrial thiamine pyrophosphate carrier; Mitochondrial transporter mediating uptake of thiamine pyrophosphate (ThPP) into mitochondria; Solute carriers
24	PHLDA1	9606.ENSP00000266671	PHLDA1	Pleckstrin homology-like domain family A member 1; Seems to be involved in regulation of apoptosis. May be involved in detachment-mediated programmed cell death. May mediate apoptosis during neuronal development. May be involved in regulation of anti-apoptotic effects of IGF1. May be involved in translational regulation
25	INPP4B	9606.ENSP00000425487	INPP4B	Type II inositol 3,4-bisphosphate 4-phosphatase; Catalyzes the hydrolysis of the 4-position phosphate of phosphatidylinositol 3,4-bisphosphate, inositol 1,3,4- trisphosphate and inositol 1,4-bisphosphate
26	PAFAH1B1	9606.ENSP00000380378	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit alpha; Required for proper activation of Rho GTPases and actin polymerization at the leading edge of locomoting cerebellar neurons and postmigratory hippocampal neurons in response to calcium influx triggered via NMDA receptors. Non-catalytic subunit of an acetylhydrolase complex which inactivates platelet- activating factor (PAF) by removing the acetyl group at the SN-2 position (By similarity). Positively regulates the activity of the minus-end directed microtubule motor protein dynein. May enhance dynein-mediated microtubule slid [...] 
