#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB1	CD34	9606.ENSP00000478255	9606.ENSP00000310036	0	0	0	0	0	0	0	0.456	0.456
ABCB1	CAV1	9606.ENSP00000478255	9606.ENSP00000339191	0	0	0	0	0	0.490	0	0.891	0.942
ABCB1	ABL1	9606.ENSP00000478255	9606.ENSP00000361423	0	0	0	0	0	0.060	0	0.417	0.429
ABCB1	CLDN5	9606.ENSP00000478255	9606.ENSP00000385477	0	0	0	0	0.111	0	0	0.487	0.524
ABCG1	PPARG	9606.ENSP00000354995	9606.ENSP00000287820	0	0	0	0	0	0.075	0	0.684	0.695
ABCG1	OLR1	9606.ENSP00000354995	9606.ENSP00000309124	0	0	0	0	0.062	0	0	0.602	0.610
ABCG1	LPL	9606.ENSP00000354995	9606.ENSP00000309757	0	0	0	0	0	0	0	0.562	0.562
ABCG1	CAV1	9606.ENSP00000354995	9606.ENSP00000339191	0	0	0	0	0	0	0	0.740	0.740
ABCG1	JAM2	9606.ENSP00000354995	9606.ENSP00000383376	0	0	0	0	0	0	0	0.411	0.410
ABL1	CAT	9606.ENSP00000361423	9606.ENSP00000241052	0.044	0	0	0	0	0.282	0	0.265	0.452
ABL1	SPAG9	9606.ENSP00000361423	9606.ENSP00000262013	0	0	0	0	0.062	0.282	0.600	0.117	0.730
ABL1	TAL1	9606.ENSP00000361423	9606.ENSP00000294339	0	0	0	0	0	0.056	0	0.425	0.433
ABL1	CD34	9606.ENSP00000361423	9606.ENSP00000310036	0	0	0	0	0.062	0	0	0.688	0.695
ABL1	SLIT3	9606.ENSP00000361423	9606.ENSP00000332164	0	0	0	0	0	0.342	0	0.179	0.437
ABL1	CAV1	9606.ENSP00000361423	9606.ENSP00000339191	0	0	0	0	0.065	0.290	0	0.362	0.539
ABL1	GATA2	9606.ENSP00000361423	9606.ENSP00000345681	0	0	0	0	0.062	0.139	0	0.395	0.468
ABL1	SLIT2	9606.ENSP00000361423	9606.ENSP00000422591	0	0	0	0	0	0.342	0.600	0.199	0.770
ACACB	ACADL	9606.ENSP00000341044	9606.ENSP00000233710	0.044	0	0	0	0.064	0	0	0.432	0.448
ACACB	FABP4	9606.ENSP00000341044	9606.ENSP00000256104	0	0	0	0	0.062	0	0	0.410	0.423
ACACB	PPARG	9606.ENSP00000341044	9606.ENSP00000287820	0	0	0	0	0.062	0	0	0.472	0.483
ACACB	LPL	9606.ENSP00000341044	9606.ENSP00000309757	0	0	0	0	0.062	0	0	0.425	0.438
ACADL	FABP4	9606.ENSP00000233710	9606.ENSP00000256104	0	0	0	0	0.062	0.121	0	0.413	0.473
ACADL	PPARG	9606.ENSP00000233710	9606.ENSP00000287820	0	0	0	0	0.062	0.056	0	0.458	0.479
ACADL	CAT	9606.ENSP00000233710	9606.ENSP00000241052	0.069	0	0	0	0.158	0.233	0	0.251	0.489
ACADL	PLIN2	9606.ENSP00000233710	9606.ENSP00000276914	0	0	0	0	0.062	0	0	0.539	0.549
ACADL	ECHS1	9606.ENSP00000233710	9606.ENSP00000357535	0.049	0	0.234	0	0.122	0.171	0.900	0.502	0.967
ADAMTS8	CLEC3B	9606.ENSP00000257359	9606.ENSP00000296130	0	0	0	0	0.075	0	0	0.396	0.417
ADAMTS8	SEMA5A	9606.ENSP00000257359	9606.ENSP00000371936	0	0	0	0.544	0	0	0.900	0.064	0.901
ADAMTS8	ADAMTSL3	9606.ENSP00000257359	9606.ENSP00000286744	0	0	0	0.596	0.062	0	0.900	0.139	0.906
ADAMTSL3	SEMA5A	9606.ENSP00000286744	9606.ENSP00000371936	0	0	0	0	0	0	0.900	0	0.900
ADH1B	CAT	9606.ENSP00000306606	9606.ENSP00000241052	0	0	0	0	0.062	0	0	0.387	0.400
ADIRF	PPARG	9606.ENSP00000361083	9606.ENSP00000287820	0	0	0	0	0	0	0.900	0.128	0.909
