#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB1	ABCG2	9606.ENSP00000478255	9606.ENSP00000237612	0	0	0	0.556	0.091	0.135	0	0.931	0.518
ABCB1	ABL1	9606.ENSP00000478255	9606.ENSP00000361423	0	0	0	0	0	0.060	0	0.417	0.429
ABCG1	PPARG	9606.ENSP00000354995	9606.ENSP00000287820	0	0	0	0	0	0.075	0	0.684	0.695
ABCG1	OLR1	9606.ENSP00000354995	9606.ENSP00000309124	0	0	0	0	0.062	0	0	0.602	0.610
ABCG2	SLCO4A1	9606.ENSP00000237612	9606.ENSP00000217159	0	0	0	0	0	0	0	0.460	0.459
ABCG2	ENG	9606.ENSP00000237612	9606.ENSP00000362299	0	0	0	0	0.049	0	0	0.456	0.460
ABL1	CD38	9606.ENSP00000361423	9606.ENSP00000226279	0	0	0	0	0	0.056	0	0.501	0.508
ABL1	SPAG9	9606.ENSP00000361423	9606.ENSP00000262013	0	0	0	0	0.062	0.282	0.600	0.117	0.730
ABL1	WWTR1	9606.ENSP00000361423	9606.ENSP00000419465	0	0	0	0	0.049	0.078	0.900	0.385	0.938
ADORA2B	P2RY13	9606.ENSP00000304501	9606.ENSP00000320376	0	0	0	0	0	0	0	0.560	0.560
ADORA2B	P2RY1	9606.ENSP00000304501	9606.ENSP00000304767	0	0	0	0	0.065	0.057	0	0.714	0.726
AGO2	LRRK2	9606.ENSP00000220592	9606.ENSP00000298910	0	0	0	0	0.062	0.546	0	0.724	0.873
AGO2	EIF4E	9606.ENSP00000220592	9606.ENSP00000425561	0	0	0	0	0.062	0.420	0.900	0.869	0.992
AIF1	SYN1	9606.ENSP00000365227	9606.ENSP00000295987	0	0	0	0	0	0.076	0	0.460	0.479
AIF1	LRRK2	9606.ENSP00000365227	9606.ENSP00000298910	0	0	0	0	0.109	0.221	0	0.312	0.481
AIF1	P2RY13	9606.ENSP00000365227	9606.ENSP00000320376	0	0	0	0	0.319	0	0	0.284	0.491
AIF1	OLIG2	9606.ENSP00000365227	9606.ENSP00000331040	0	0	0	0	0	0	0	0.747	0.747
AIF1	CCL5	9606.ENSP00000365227	9606.ENSP00000474412	0	0	0	0	0.096	0	0	0.467	0.497
AKR7A2	MSC	9606.ENSP00000235835	9606.ENSP00000321445	0	0	0	0	0	0	0	0.431	0.431
APOL3	GBP1	9606.ENSP00000344577	9606.ENSP00000359504	0	0	0	0	0.520	0	0	0.048	0.523
ARHGEF7	CAMK1	9606.ENSP00000364893	9606.ENSP00000256460	0	0	0	0	0.052	0	0.900	0.304	0.928
ARHGEF7	LRRK2	9606.ENSP00000364893	9606.ENSP00000298910	0	0	0	0	0.062	0.684	0	0.941	0.981
ATP6V0D2	NPRL3	9606.ENSP00000285393	9606.ENSP00000483814	0	0	0	0	0	0	0.900	0.189	0.915
BAX	TNFSF10	9606.ENSP00000293288	9606.ENSP00000241261	0	0	0	0	0	0	0	0.403	0.403
BBS9	IFT27	9606.ENSP00000242067	9606.ENSP00000393541	0	0	0	0	0	0	0	0.688	0.688
